,source,text,created_at,sentiment
4749,Twitter for iPhone,"Such amazing reporting on unmasking and the crooked scheme against us by @foxandfriends. ""Spied on before nomination."" The real story.",2017-04-03 10:15:17+00:00,negative
4750,Twitter for iPhone,Was the brother of John Podesta paid big money to get the sanctions on Russia lifted? Did Hillary know?,2017-04-03 11:16:52+00:00,negative
4751,Twitter for iPhone,Did Hillary Clinton ever apologize for receiving the answers to the debate? Just asking!,2017-04-03 11:21:11+00:00,negative
4752,Twitter for iPhone,".@FoxNews from multiple sources: ""There was electronic surveillance of Trump, and people close to Trump. This is unprecedented."" @FBI",2017-04-03 12:51:01+00:00,negative
4753,Twitter for iPhone,"Getting ready to meet President al-Sisi of Egypt. On behalf of the United States, I look forward to a long and wonderful relationship.",2017-04-03 16:00:33+00:00,positive
4766,Twitter for iPhone,"Congratulations to our great military men and women for representing the United States, and the world, so well in the Syria attack.",2017-04-08 14:54:24+00:00,positive
4767,Twitter for iPhone,The reason you don't generally hit runways is that they are easy and inexpensive to quickly fix (fill in and top)!,2017-04-08 19:00:08+00:00,positive
4768,Twitter for iPhone,Judge Gorsuch will be sworn in at the Rose Garden of the White House on Monday at 11:00 A.M. He will be a great Justice. Very proud of him!,2017-04-08 19:58:32+00:00,positive
4773,Twitter for iPhone,"Happy Passover to everyone celebrating in the United States of America, Israel, and around the world. #ChagSameach",2017-04-10 23:56:35+00:00,positive
4775,Twitter for iPhone,I explained to the President of China that a trade deal with the U.S. will be far better for them if they solve the North Korean problem!,2017-04-11 11:59:04+00:00,neutral
4776,Twitter for iPhone,"North Korea is looking for trouble. If China decides to help, that would be great. If not, we will solve the problem without them!  U.S.A.",2017-04-11 12:03:43+00:00,positive
4777,Twitter for iPhone,"Ron Estes is running TODAY for Congress in the Great State of Kansas. A wonderful guy, I need his help on Healthcare & Tax Cuts (Reform).",2017-04-11 12:59:20+00:00,positive
4779,Twitter for iPhone,I will be interviewed by @MariaBartiromo at 6:00 A.M. @FoxBusiness. Enjoy!,2017-04-12 03:16:00+00:00,neutral
4780,Twitter for iPhone,Had a very good call last night with the President of China concerning the menace of North Korea.,2017-04-12 12:22:22+00:00,positive
4781,Twitter for iPhone,"Great win in Kansas last night for Ron Estes, easily winning the Congressional race against the Dems, who spent heavily & predicted victory!",2017-04-12 12:37:07+00:00,positive
4783,Twitter for iPhone,Economic confidence is soaring as we unleash the power of private sector job creation and stand up for the American Workers. #AmericaFirst,2017-04-12 23:09:56+00:00,positive
4784,Twitter for iPhone,"One by one we are keeping our promises - on the border, on energy, on jobs, on regulations. Big changes are happening!",2017-04-12 23:10:37+00:00,positive
4785,Twitter for iPhone,"Jobs are returning, illegal immigration is plummeting, law, order and justice are being restored. We are truly making America great again!",2017-04-13 00:32:25+00:00,positive
4786,Twitter for iPhone,"I have great confidence that China will properly deal with North Korea. If they are unable to do so, the U.S., with its allies, will! U.S.A.",2017-04-13 13:08:20+00:00,positive
4787,Twitter for iPhone,Things will work out fine between the U.S.A. and Russia. At the right time everyone will come to their senses & there will be lasting peace!,2017-04-13 13:16:30+00:00,positive
4792,Twitter for iPhone,Why would I call China a currency manipulator when they are working with us on the North Korean problem? We will see what happens!,2017-04-16 12:18:40+00:00,neutral
4793,Twitter for iPhone,Happy Easter to everyone!,2017-04-16 12:24:49+00:00,positive
4794,Twitter for iPhone,I did what was an almost an impossible thing to do for a Republican-easily won the Electoral College! Now Tax Returns are brought up again?,2017-04-16 13:07:11+00:00,negative
4795,Twitter for iPhone,Someone should look into who paid for the small organized rallies yesterday. The election is over!,2017-04-16 13:13:26+00:00,negative
4796,Twitter for iPhone,"Our military is building and is rapidly becoming stronger than ever before. Frankly, we have no choice!",2017-04-16 13:41:47+00:00,positive
4797,Twitter for iPhone,"The recent Kansas election (Congress) was a really big media event, until the Republicans won. Now they play the same game with Georgia-BAD!",2017-04-17 00:45:01+00:00,negative
4799,Twitter for iPhone,"A great book for your reading enjoyment: ""REASONS TO VOTE FOR DEMOCRATS"" by Michael J. Knowles.",2017-04-17 12:13:17+00:00,neutral
4800,Twitter for iPhone,The Fake Media (not Real Media) has gotten even worse since the election. Every story is badly slanted. We have to hold them to the truth!,2017-04-17 12:17:59+00:00,negative
4801,Twitter for iPhone,"The super Liberal Democrat in the Georgia Congressioal race tomorrow wants to protect criminals, allow illegal immigration and raise taxes!",2017-04-17 13:31:03+00:00,negative
4805,Twitter for iPhone,"With eleven Republican candidates running in Georgia (on Tuesday) for Congress, a runoff will be a win. Vote ""R"" for lower taxes & safety!",2017-04-18 02:18:38+00:00,positive
4806,Twitter for iPhone,The weak illegal immigration policies of the Obama Admin. allowed bad MS 13 gangs to form in cities across U.S. We are removing them fast!,2017-04-18 09:39:25+00:00,negative
4807,Twitter for iPhone,I will be interviewed on @foxandfriends by @ainsleyearhardt starting at 6:00 A.M. Enjoy!,2017-04-18 09:48:10+00:00,neutral
4808,Twitter for iPhone,"Democrat Jon Ossoff would be a disaster in Congress. VERY weak on crime and illegal immigration, bad for jobs and wants higher taxes. Say NO",2017-04-18 10:38:59+00:00,negative
4809,Twitter for iPhone,Republicans must get out today and VOTE in Georgia 6. Force runoff and easy win! Dem Ossoff will raise your taxes-very bad on crime & 2nd A.,2017-04-18 10:46:19+00:00,positive
4810,Twitter for iPhone,"Just learned that Jon @Ossoff, who is running for Congress in Georgia, doesn't even live in the district. Republicans, get out and vote!",2017-04-18 20:38:25+00:00,positive
4812,Twitter for iPhone,"Despite major outside money, FAKE media support and eleven Republican candidates, BIG ""R"" win with runoff in Georgia. Glad to be of help!",2017-04-19 04:09:17+00:00,positive
4813,Twitter for iPhone,Dems failed in Kansas and are now failing in Georgia. Great job Karen Handel! It is now Hollywood vs. Georgia on June 20th.,2017-04-19 12:43:18+00:00,negative
4817,Twitter for iPhone,"Failing @nytimes, which has been calling me wrong for two years, just got caught in a big lie concerning New England Patriots visit to W.H.",2017-04-20 13:48:14+00:00,negative
4821,Twitter for iPhone,Another terrorist attack in Paris. The people of France will not take much more of this. Will have a big effect on presidential election!,2017-04-21 10:32:01+00:00,negative
4822,Twitter for iPhone,"No matter how much I accomplish during the ridiculous standard of the first 100 days, & it has been a lot (including S.C.), media will kill!",2017-04-21 10:50:33+00:00,negative
4823,Twitter for iPhone,"China is very much the economic lifeline to North Korea so, while nothing is easy, if they want to solve the North Korean problem, they will",2017-04-21 13:04:19+00:00,neutral
4830,Twitter for iPhone,Getting ready to visit Walter Reed Medical Center with Melania. Looking forward to seeing our bravest and greatest Americans!,2017-04-22 16:05:37+00:00,positive
4831,Twitter for iPhone,Next Saturday night I will be holding a BIG rally in Pennsylvania. Look forward to it!,2017-04-22 16:10:26+00:00,positive
4832,Twitter for iPhone,Big TAX REFORM AND TAX REDUCTION will be announced next Wednesday.,2017-04-22 16:15:01+00:00,neutral
4833,Twitter for iPhone,"Today on Earth Day, we celebrate our beautiful forests, lakes and land. We stand committed to preserving the natural beauty of our nation.",2017-04-22 19:01:59+00:00,positive
4834,Twitter for iPhone,I am committed to keeping our air and water clean but always remember that economic growth enhances environmental protection. Jobs matter!,2017-04-22 21:49:10+00:00,positive
4835,Twitter for iPhone,Very interesting election currently taking place in France.,2017-04-23 14:05:07+00:00,neutral
4836,Twitter for iPhone,"Thank you Lake Worth, Florida. @foxandfriends",2017-04-23 14:07:52+00:00,positive
4837,Twitter for iPhone,ObamaCare is in serious trouble. The Dems need big money to keep it going - otherwise it dies far sooner than anyone would have thought.,2017-04-23 14:20:12+00:00,negative
4838,Twitter for iPhone,The Democrats don't want money from budget going to border wall despite the fact that it will stop drugs and very bad MS 13 gang members.,2017-04-23 15:42:07+00:00,negative
4839,Twitter for iPhone,"Eventually, but at a later date so we can get started early, Mexico will be paying, in some form, for the badly needed border wall.",2017-04-23 15:44:59+00:00,neutral
4842,Twitter for iPhone,"The two fake news polls released yesterday, ABC & NBC, while containing some very positive info, were totally wrong in General E. Watch!",2017-04-24 12:15:45+00:00,negative
4843,Twitter for iPhone,The Wall is a very important tool in stopping drugs from pouring into our country and poisoning our youth (and many others)! If,2017-04-24 12:28:01+00:00,positive
4847,Twitter for iPhone,"If our healthcare plan is approved, you will see real healthcare and premiums will start tumbling down. ObamaCare is in a death spiral!",2017-04-24 17:18:32+00:00,negative
4850,Twitter for iPhone,Canada has made business for our dairy farmers in Wisconsin and other border states very difficult. We will not stand for this. Watch!,2017-04-25 12:30:15+00:00,negative
4851,Twitter for iPhone,"Don't let the fake media tell you that I have changed my position on the WALL. It will get built and help stop drugs, human trafficking etc.",2017-04-25 12:36:28+00:00,negative
4854,Twitter for iPhone,First the Ninth Circuit rules against the ban & now it hits again on sanctuary cities-both ridiculous rulings. See you in the Supreme Court!,2017-04-26 10:20:00+00:00,negative
4857,Twitter for iPhone,The U.S. recorded its slowest economic growth in five years (2016). GDP up only 1.6%. Trade deficits hurt the economy very badly.,2017-04-26 10:51:06+00:00,negative
4862,Twitter for iPhone,"Democrats are trying to bail out insurance companies from disastrous #ObamaCare, and Puerto Rico with your tax dollars. Sad!",2017-04-26 23:06:16+00:00,negative
4863,Twitter for iPhone,I received calls from the President of Mexico and the Prime Minister of Canada asking to renegotiate NAFTA rather than terminate. I agreed..,2017-04-27 11:12:12+00:00,neutral
4865,Twitter for iPhone,The Democrats want to shut government if we don't bail out Puerto Rico and give billions to their insurance companies for OCare failure. NO!,2017-04-27 11:30:20+00:00,negative
4866,Twitter for iPhone,I want to help our miners while the Democrats are blocking their healthcare.,2017-04-27 14:37:09+00:00,negative
4867,Twitter for iPhone,I promise to rebuild our military and secure our border. Democrats want to shut down the government. Politics!,2017-04-27 14:37:30+00:00,negative
4868,Twitter for iPhone,What's more important? Rebuilding our military - or bailing out insurance companies? Ask the Democrats.,2017-04-27 14:37:51+00:00,negative
4869,Twitter for iPhone,Democrats jeopardizing the safety of our troops to bail out their donors from insurance companies. It is time to put #AmericaFirst🇺🇸,2017-04-27 14:38:14+00:00,negative
4870,Twitter for iPhone,Democrats used to support border security — now they want illegals to pour through our borders.,2017-04-27 14:39:04+00:00,negative
4871,Twitter for iPhone,As families prepare for summer vacations in our National Parks - Democrats threaten to close them and shut down the government. Terrible!,2017-04-27 14:39:25+00:00,negative
4876,Twitter for iPhone,"We are making tremendous progress with the V. A. There has never been so much done so quickly, and we have just started. We love our VETS!",2017-04-28 12:15:59+00:00,positive
4877,Twitter for iPhone,I will be interviewed by @MarthaMaccallum on @FoxNews tonight at 7pm. Enjoy!,2017-04-28 22:31:25+00:00,neutral
4878,Twitter for iPhone,"North Korea disrespected the wishes of China & its highly respected President when it launched, though unsuccessfully, a missile today. Bad!",2017-04-28 23:26:18+00:00,negative
4880,Twitter for iPhone,".@LouDobbs just stated that ""President Trump's successes are unmatched in recent presidential history""  Thank you Lou!",2017-04-29 02:40:11+00:00,positive
4881,Twitter for iPhone,"Looking forward to RALLY in the Great State of Pennsylvania tonight at 7:30. Big crowd, big energy!",2017-04-29 15:35:26+00:00,positive
4882,Twitter for iPhone,"Mainstream (FAKE) media refuses to state our long list of achievements, including 28 legislative signings, strong borders & great optimism!",2017-04-29 17:39:48+00:00,negative
4884,Twitter for iPhone,I will be interviewed on @FaceTheNation this morning at 10:00 A.M. Have a great day!,2017-04-30 11:33:12+00:00,neutral
4885,Twitter for iPhone,Big excitement last night in the Great State of Pennsylvania! Fantastic crowd and people. MAKE AMERICA GREAT AGAIN!,2017-04-30 12:05:31+00:00,positive
4886,Twitter for iPhone,"The Democrats, without a leader, have become the party of obstruction.They are only interested in themselves and not in what's best for U.S.",2017-04-30 12:09:04+00:00,negative
4887,Twitter for iPhone,You can't compare anything to ObamaCare because ObamaCare is dead. Dems want billions to go to Insurance Companies to bail out donors....New,2017-04-30 12:28:04+00:00,negative
4891,Twitter for iPhone,"President Andrew Jackson, who died 16 years before the Civil War started, saw it coming and was angry. Would never have let it happen!",2017-05-02 00:55:54+00:00,negative
4893,Twitter for iPhone,"either elect more Republican Senators in 2018 or change the rules now to 51%. Our country needs a good ""shutdown"" in September to fix mess!",2017-05-02 13:07:10+00:00,negative
4901,Twitter for iPhone,The Fake News media is officially out of control. They will do or say anything in order to get attention - never been a time like this!,2017-05-04 11:02:54+00:00,negative
4902,Twitter for iPhone,Congratulations to @foxandfriends on its unbelievable ratings hike.,2017-05-04 11:07:35+00:00,positive
4906,Twitter for iPhone,"I am watching the Democrats trying to defend the ""you can keep you doctor, you can keep your plan & premiums will go down"" ObamaCare lie.""",2017-05-04 17:43:11+00:00,negative
4907,Twitter for iPhone,Insurance companies are fleeing ObamaCare - it is dead. Our healthcare plan will lower premiums & deductibles - and be great healthcare!,2017-05-04 17:56:51+00:00,negative
4908,Twitter for iPhone,"If victorious, Republicans will be having a big press conference at the beautiful Rose Garden of the White House immediately after vote!",2017-05-04 18:07:29+00:00,positive
4911,Twitter for iPhone,"Big win in the House - very exciting! But when everything comes together with the inclusion of Phase 2, we will have truly great healthcare!",2017-05-05 12:52:36+00:00,positive
4912,Twitter for iPhone,"Rather than causing a big disruption in N.Y.C., I will be working out of my home in Bedminster, N.J. this weekend. Also saves country money!",2017-05-05 13:02:46+00:00,positive
4913,Twitter for iPhone,Of course the Australians have better healthcare than we do --everybody does. ObamaCare is dead! But our healthcare will soon be great.,2017-05-05 19:13:54+00:00,negative
4916,Twitter for iPhone,"Wow,the Fake News media did everything in its power to make the Republican Healthcare victory look as bad as possible.Far better than Ocare!",2017-05-05 23:22:22+00:00,negative
4917,Twitter for iPhone,Why is it that the Fake News rarely reports Ocare is on its last legs and that insurance companies are fleeing for their lives? It's dead!,2017-05-05 23:29:45+00:00,negative
4918,Twitter for iPhone,Great jobs report today - It is all beginning to work!,2017-05-05 23:34:36+00:00,positive
4919,Twitter for iPhone,"The reason I am staying in Bedminster, N. J., a beautiful community, is that staying in NYC is much more expensive and disruptive. Meetings!",2017-05-06 22:39:42+00:00,positive
4920,Twitter for iPhone,When will the Fake Media ask about the Dems dealings with Russia & why the DNC wouldn't allow the FBI to check their server or investigate?,2017-05-07 11:15:26+00:00,negative
4923,Twitter for iPhone,Republican Senators will not let the American people down! ObamaCare premiums and deductibles are way up - it was a lie and it is dead!,2017-05-07 12:49:39+00:00,negative
4924,Twitter for iPhone,Congratulations to Emmanuel Macron on his big win today as the next President of France. I look very much forward to working with him!,2017-05-07 19:22:17+00:00,positive
4925,Twitter for iPhone,Rexnord of Indiana made a deal during the Obama Administration to move to Mexico. Fired their employees. Tax product big that's sold in U.S.,2017-05-07 22:58:47+00:00,negative
4927,Twitter for iPhone,Congratulations to @PGA_JohnDaly on his big win yesterday. John is a great guy who never gave up - and now a winner again!,2017-05-08 11:32:24+00:00,positive
4928,Twitter for iPhone,General Flynn was given the highest security clearance by the Obama Administration - but the Fake News seldom likes talking about that.,2017-05-08 11:57:42+00:00,negative
4929,Twitter for iPhone,"Ask Sally Yates, under oath, if she knows how classified information got into the newspapers soon after she explained it to W.H. Council.",2017-05-08 12:14:21+00:00,negative
4932,Twitter for iPhone,"Director Clapper reiterated what everybody, including the fake media already knows- there is ""no evidence"" of collusion w/ Russia and Trump.",2017-05-08 22:41:12+00:00,positive
4933,Twitter for iPhone,Sally Yates made the fake media extremely unhappy today --- she said nothing but old news!,2017-05-08 22:43:39+00:00,negative
4934,Twitter for iPhone,"The Russia-Trump collusion story is a total hoax, when will this taxpayer funded charade end?",2017-05-08 22:46:00+00:00,negative
4935,Twitter for iPhone,Biggest story today between Clapper & Yates is on surveillance. Why doesn't the media report on this? #FakeNews!,2017-05-08 22:50:45+00:00,negative
4938,Twitter for iPhone,"Cryin' Chuck Schumer stated recently, ""I do not have confidence in him (James Comey) any longer."" Then acts so indignant.  #draintheswamp",2017-05-10 02:42:52+00:00,negative
4939,Twitter for iPhone,"The Democrats have said some of the worst things about James Comey, including the fact that he should be fired, but now they play so sad!",2017-05-10 11:10:48+00:00,negative
4940,Twitter for iPhone,"James Comey will be replaced by someone who will do a far better job, bringing back the spirit and prestige of the FBI.",2017-05-10 11:19:04+00:00,positive
4942,Twitter for iPhone,"Comey lost the confidence of almost everyone in Washington, Republican and Democrat alike. When things calm down, they will be thanking me!",2017-05-10 11:27:13+00:00,negative
4946,Twitter for iPhone,"caught, he cried like a baby and begged for forgiveness...and now he is judge & jury. He should be the one who is investigated for his acts.",2017-05-10 12:39:59+00:00,negative
4947,Twitter for iPhone,The Roger Stone report on @CNN is false - Fake News. Have not spoken to Roger in a long time - had nothing to do with my decision.,2017-05-10 12:57:16+00:00,negative
4948,Twitter for iPhone,Dems have been complaining for months & months about Dir. Comey. Now that he has been fired they PRETEND to be aggrieved. Phony hypocrites!,2017-05-10 19:23:52+00:00,negative
4953,Twitter for iPhone,Russia must be laughing up their sleeves watching as the U.S. tears itself apart over a Democrat EXCUSE for losing the election.,2017-05-11 20:34:25+00:00,negative
4955,Twitter for iPhone,"Again, the story that there was collusion between the Russians & Trump campaign was fabricated by Dems as an excuse for losing the election.",2017-05-12 11:51:56+00:00,negative
4956,Twitter for iPhone,The Fake Media is working overtime today!,2017-05-12 11:53:48+00:00,negative
4959,Twitter for iPhone,"James Comey better hope that there are no ""tapes"" of our conversations before he starts leaking to the press!",2017-05-12 12:26:15+00:00,negative
4960,Twitter for iPhone,"When James Clapper himself, and virtually everyone else with knowledge of the witch hunt, says there is no collusion, when does it end?",2017-05-12 12:54:54+00:00,negative
4961,Twitter for iPhone,"China just agreed that the U.S. will be allowed to sell beef, and other major products, into China once again. This is REAL news!",2017-05-12 13:20:04+00:00,positive
4966,Twitter for iPhone,Will be interviewed by @JudgeJeanine on @FoxNews at 9:00 P.M. (Saturday night). Enjoy!,2017-05-13 17:54:31+00:00,neutral
4968,Twitter for iPhone,"Wishing @FLOTUS Melania and all of the great mothers out there a wonderful day ahead with family and friends! 

Happy #MothersDay",2017-05-14 15:13:45+00:00,positive
4977,Twitter for iPhone,"With all of the illegal acts that took place in the Clinton campaign & Obama Administration, there was never a special councel appointed!",2017-05-18 11:39:19+00:00,negative
4978,Twitter for iPhone,This is the single greatest witch hunt of a politician in American history!,2017-05-18 11:52:14+00:00,negative
4979,Twitter for iPhone,"With all of the illegal acts that took place in the Clinton campaign & Obama Administration, there was never a special counsel appointed!",2017-05-18 14:07:06+00:00,negative
4982,Twitter for iPhone,Getting ready for my big foreign trip. Will be strongly protecting American interests - that's what I like to do!,2017-05-19 14:24:08+00:00,positive
4992,Twitter for iPhone,"Thank you for such a wonderful and unforgettable visit, Prime Minister @Netanyahu and @PresidentRuvi.",2017-05-23 15:43:16+00:00,positive
4993,Twitter for iPhone,"Israel, Saudi Arabia and the Middle East were great. Trying hard for PEACE. Doing well. Heading to Vatican & Pope, then #G7 and #NATO.",2017-05-23 15:47:21+00:00,positive
4994,Twitter for iPhone,All civilized nations must join together to protect human life and the sacred right of our citizens to live in safety and in peace.,2017-05-23 15:58:37+00:00,neutral
5001,Twitter for iPhone,Just arrived in Italy for the G7. Trip has been very successful. We made and saved the USA many billions of dollars and millions of jobs.,2017-05-26 10:13:41+00:00,positive
5002,Twitter for iPhone,"Getting ready to engage G7 leaders on many issues including economic growth, terrorism, and security.",2017-05-26 10:14:12+00:00,neutral
5005,Twitter for iPhone,"Big G7 meetings today. Lots of very important matters under discussion. First on the list, of course, is terrorism. #G7Taormina",2017-05-27 09:58:37+00:00,neutral
5006,Twitter for iPhone,"Many NATO countries have agreed to step up payments considerably, as they should. Money is beginning to pour in- NATO will be much stronger.",2017-05-27 10:03:12+00:00,positive
5007,Twitter for iPhone,I will make my final decision on the Paris Accord next week!,2017-05-27 12:17:51+00:00,neutral
5010,Twitter for iPhone,I look forward to reading the @CommerceGov 232 analysis of steel and aluminum- to be released in June. Will take major action if necessary.,2017-05-27 16:22:01+00:00,neutral
5011,Twitter for iPhone,"Bringing hundreds of billions of dollars back to the U.S.A. from the Middle East - which will mean JOBS, JOBS, JOBS!",2017-05-27 17:19:37+00:00,positive
5012,Twitter for iPhone,"Just arrived in Italy after having a very successful NATO meeting in Brussels. Told other nations they must pay more, not fair to  U.S.",2017-05-28 11:57:20+00:00,neutral
5014,Twitter for iPhone,Big win in Montana for Republicans!,2017-05-28 12:02:05+00:00,positive
5015,Twitter for iPhone,Just returned from Europe. Trip was a great success for America. Hard work but big results!,2017-05-28 12:10:43+00:00,positive
5016,Twitter for iPhone,It is my opinion that many of the leaks coming out of the White House are fabricated lies made up by the #FakeNews media.,2017-05-28 12:33:03+00:00,negative
5019,Twitter for iPhone,Does anyone notice how the Montana Congressional race was such a big deal to Dems & Fake News until the Republican won? V was poorly covered,2017-05-28 12:40:33+00:00,negative
5022,Twitter for iPhone,British Prime Minister May was very angry that the info the U.K. gave to U.S. about Manchester was leaked. Gave me full details!,2017-05-28 14:43:53+00:00,neutral
5023,Twitter for iPhone,I suggest that we add more dollars to Healthcare and make it the best anywhere. ObamaCare is dead - the Republicans will do much better!,2017-05-28 23:57:19+00:00,negative
5024,Twitter for iPhone,"The massive TAX CUTS/REFORM that I have submitted is moving along in the process very well, actually ahead of schedule. Big benefits to all!",2017-05-29 00:07:01+00:00,positive
5025,Twitter for iPhone,The Fake News Media works hard at disparaging & demeaning my use of social media because they don't want America to hear the real story!,2017-05-29 00:20:11+00:00,negative
5026,Twitter for iPhone,"Honoring the men and women who made the ultimate sacrifice in service to America. Home of the free, because of the brave. #MemorialDay🇺🇸",2017-05-29 12:11:59+00:00,positive
5027,Twitter for iPhone,"North Korea has shown great disrespect for their neighbor, China, by shooting off yet another ballistic missile...but China is trying hard!",2017-05-29 12:18:52+00:00,neutral
5028,Twitter for iPhone,"Today we remember the men and women who made the ultimate sacrifice in serving. Thank you, God bless your families & God bless the USA!",2017-05-29 12:35:34+00:00,positive
5029,Twitter for iPhone,I look forward to paying my respects to our brave men and women on this Memorial Day at Arlington National Cemetery later this morning.,2017-05-29 12:36:37+00:00,positive
5030,Twitter for iPhone,"We have a MASSIVE trade deficit with Germany, plus they pay FAR LESS than they should on NATO & military. Very bad for U.S. This will change",2017-05-30 10:40:36+00:00,negative
5031,Twitter for iPhone,Russian officials must be laughing at the U.S. & how a lame excuse for why the Dems lost the election has taken over the Fake News.,2017-05-30 11:04:48+00:00,negative
5032,Twitter for iPhone,"The U.S. Senate should switch to 51 votes, immediately, and get Healthcare and TAX CUTS approved, fast and easy. Dems would do it, no doubt!",2017-05-30 13:59:28+00:00,positive
5036,Twitter for iPhone,"Who can figure out the true meaning of ""covfefe"" ???  Enjoy!",2017-05-31 10:09:22+00:00,neutral
5039,Twitter for iPhone,"Kathy Griffin should be ashamed of herself. My children, especially my 11 year old son, Barron, are having a hard time with this. Sick!",2017-05-31 11:14:48+00:00,negative
5040,Twitter for iPhone,"Hopefully Republican Senators, good people all, can quickly get together and pass a new (repeal & replace) HEALTHCARE bill. Add saved $'s.",2017-05-31 13:05:14+00:00,positive
5041,Twitter for iPhone,I will be announcing my decision on the Paris Accord over the next few days. MAKE AMERICA GREAT AGAIN!,2017-05-31 13:08:41+00:00,positive
5044,Twitter for iPhone,"Crooked Hillary Clinton now blames everybody but herself, refuses to say she was a terrible candidate. Hits Facebook & even Dems & DNC.",2017-06-01 00:40:01+00:00,negative
5045,Twitter for iPhone,"I will be announcing my decision on Paris Accord, Thursday at 3:00 P.M.  The White House Rose Garden.  MAKE AMERICA GREAT AGAIN!",2017-06-01 01:05:17+00:00,positive
5046,Twitter for iPhone,"The big story is the ""unmasking and surveillance"" of people that took place during the Obama Administration.",2017-06-01 11:05:21+00:00,negative
5061,Twitter for iPhone,"We need to be smart, vigilant and tough. We need the courts to give us back our rights. We need the Travel Ban as an extra level of safety!",2017-06-03 23:17:13+00:00,positive
5062,Twitter for iPhone,"Whatever the United States can do to help out in London and the U. K., we will be there - WE ARE WITH YOU. GOD BLESS!",2017-06-03 23:24:45+00:00,positive
5063,Twitter for iPhone,We must stop being politically correct and get down to the business of security for our people. If we don't get smart it will only get worse,2017-06-04 11:19:47+00:00,positive
5064,Twitter for iPhone,"At least 7 dead and 48 wounded in terror attack and Mayor of London says there is ""no reason to be alarmed!""",2017-06-04 11:31:00+00:00,negative
5065,Twitter for iPhone,Do you notice we are not having a gun debate right now? That's because they used knives and a truck!,2017-06-04 11:43:30+00:00,negative
5066,Twitter for iPhone,"People, the lawyers and the courts can call it whatever they want, but I am calling it what we need and what it is, a TRAVEL BAN!",2017-06-05 10:25:02+00:00,negative
5067,Twitter for iPhone,"The Justice Dept. should have stayed with the original Travel Ban, not the watered down, politically correct version they submitted to S.C.",2017-06-05 10:29:08+00:00,negative
5068,Twitter for iPhone,The Justice Dept. should ask for an expedited hearing of the watered down Travel Ban before the Supreme Court - & seek much tougher version!,2017-06-05 10:37:59+00:00,negative
5069,Twitter for iPhone,In any event we are EXTREME VETTING people coming into the U.S. in order to help keep our country safe. The courts are slow and political!,2017-06-05 10:44:18+00:00,negative
5070,Twitter for iPhone,".@foxandfriends  Dems are taking forever to approve my people, including Ambassadors. They are nothing but OBSTRUCTIONISTS! Want approvals.",2017-06-05 13:35:00+00:00,negative
5071,Twitter for iPhone,"Pathetic excuse by London Mayor Sadiq Khan who had to think fast on his ""no reason to be alarmed"" statement. MSM is working hard to sell it!",2017-06-05 13:49:56+00:00,negative
5074,Twitter for iPhone,"That's right, we need a TRAVEL BAN for certain DANGEROUS countries, not some politically correct term that won't help us protect our people!",2017-06-06 01:20:17+00:00,negative
5077,Twitter for iPhone,Big meeting today with Republican leadership concerning Tax Cuts and Healthcare. We are all pushing hard - must get it right!,2017-06-06 10:51:39+00:00,positive
5078,Twitter for iPhone,The FAKE MSM is working so hard trying to get me not to use Social Media. They hate that I can get the honest and unfiltered message out.,2017-06-06 11:58:00+00:00,negative
5079,Twitter for iPhone,During my recent trip to the Middle East I stated that there can no longer be funding of Radical Ideology. Leaders pointed to Qatar - look!,2017-06-06 12:06:35+00:00,negative
5080,Twitter for iPhone,"Sorry folks, but if I would have relied on the Fake News of CNN, NBC, ABC, CBS, washpost or nytimes, I would have had ZERO chance winning WH",2017-06-06 12:15:36+00:00,negative
5086,Twitter for iPhone,Senate passed the VA Accountability Act. The House should get this bill to my desk ASAP! We can’t tolerate substandard care for our vets.,2017-06-07 01:07:39+00:00,negative
5087,Twitter for iPhone,"I will be nominating Christopher A. Wray, a man of impeccable credentials, to be the new Director of the FBI. Details to follow.",2017-06-07 11:44:37+00:00,positive
5088,Twitter for iPhone,"Getting ready to leave for Cincinnati, in the GREAT STATE of OHIO, to meet with ObamaCare victims and talk Healthcare & also Infrastructure!",2017-06-07 12:17:13+00:00,negative
5089,Twitter for iPhone,"Despite so many false statements and lies, total and complete vindication...and WOW, Comey is a leaker!",2017-06-09 10:10:37+00:00,negative
5090,Twitter for iPhone,Great reporting by @foxandfriends and so many others. Thank you!,2017-06-09 10:54:43+00:00,positive
5092,Twitter for iPhone,Congratulations to Jeb Hensarling & Republicans on successful House vote to repeal major parts of the 2010 Dodd-Frank financial law. GROWTH!,2017-06-09 14:22:00+00:00,negative
5100,Twitter for iPhone,I believe the James Comey leaks will be far more prevalent than anyone ever thought possible. Totally illegal? Very 'cowardly!',2017-06-11 12:29:46+00:00,negative
5101,Twitter for iPhone,"The Democrats have no message,  not on economics, not on taxes,  not on jobs, not on failing #Obamacare. They are only OBSTRUCTIONISTS!",2017-06-11 12:49:00+00:00,negative
5102,Twitter for iPhone,"My daughter, Ivanka, will be on @foxandfriends tomorrow morning. Enjoy!",2017-06-12 02:02:23+00:00,neutral
5105,Twitter for iPhone,"Great numbers on the economy. All of our work, including the passage of many bills & regulation killing Executive Orders, now kicking in!",2017-06-12 02:14:29+00:00,positive
5106,Twitter for iPhone,Ivanka on @foxandfriends now!,2017-06-12 10:55:27+00:00,neutral
